"year","category","subcategory","item","Quality","Units","month","price"
2004,"FRUIT","Blackberries","All Varieties","-","£/kg","Jan",NA
2004,"FRUIT","Blackcurrants","All Varieties","-","£/kg","Jan",NA
2004,"FRUIT","Cherries","Sweet Black","1st","£/kg","Jan",NA
2004,"FRUIT","Cherries","Sweet Black","2nd","£/kg","Jan",NA
2004,"FRUIT","Cherries","Sweet Black","Ave","£/kg","Jan",NA
2004,"FRUIT","Cherries","Sweet White","1st","£/kg","Jan",NA
2004,"FRUIT","Cherries","Sweet White","2nd","£/kg","Jan",NA
2004,"FRUIT","Cherries","Sweet White","Ave","£/kg","Jan",NA
2004,"FRUIT","Cooking Apples","Bramley’s Seedling","1st","£/kg","Jan",0.68
2004,"FRUIT","Cooking Apples","Bramley’s Seedling","2nd","£/kg","Jan",0.44
2004,"FRUIT","Cooking Apples","Bramley’s Seedling","Ave","£/kg","Jan",0.59
2004,"FRUIT","Damsons","All Varieties","1st","£/kg","Jan",NA
2004,"FRUIT","Damsons","All Varieties","2nd","£/kg","Jan",NA
2004,"FRUIT","Damsons","All Varieties","Ave","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Cox’s Orange-group","1st","£/kg","Jan",0.62
2004,"FRUIT","Dessert Apples","Cox’s Orange-group","2nd","£/kg","Jan",0.4
2004,"FRUIT","Dessert Apples","Cox’s Orange-group","Ave","£/kg","Jan",0.55
2004,"FRUIT","Dessert Apples","Discovery","1st","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Discovery","2nd","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Discovery","Ave","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Egremont Russet","1st","£/kg","Jan",0.57
2004,"FRUIT","Dessert Apples","Egremont Russet","2nd","£/kg","Jan",0.44
2004,"FRUIT","Dessert Apples","Egremont Russet","Ave","£/kg","Jan",0.54
2004,"FRUIT","Dessert Apples","Spartan","1st","£/kg","Jan",0.33
2004,"FRUIT","Dessert Apples","Spartan","2nd","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Spartan","Ave","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Worcester Pearmain","1st","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Worcester Pearmain","2nd","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Worcester Pearmain","Ave","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Red Pippin","1st","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Red Pippin","2nd","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Red Pippin","Ave","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Gala","1st","£/kg","Jan",0.52
2004,"FRUIT","Dessert Apples","Gala","2nd","£/kg","Jan",0.42
2004,"FRUIT","Dessert Apples","Gala","Ave","£/kg","Jan",0.51
2004,"FRUIT","Dessert Apples","Other Early Season","-","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Other Mid Season","-","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Other Late Season","-","£/kg","Jan",0.46
2004,"FRUIT","Dessert Apples","Jonogold – group","1st","£/kg","Jan",0.5
2004,"FRUIT","Dessert Apples","Jonogold – group","2nd","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Jonogold – group","Ave","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Katy","1st","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Katy","2nd","£/kg","Jan",NA
2004,"FRUIT","Dessert Apples","Katy","Ave","£/kg","Jan",NA
2004,"FRUIT","Gooseberries","All Varieties","-","£/kg","Jan",NA
2004,"FRUIT","Pears","Conference","1st","£/kg","Jan",0.52
2004,"FRUIT","Pears","Conference","2nd","£/kg","Jan",0.36
2004,"FRUIT","Pears","Conference","Ave","£/kg","Jan",0.44
2004,"FRUIT","Pears","Doyenne Du Comice","1st","£/kg","Jan",0.61
2004,"FRUIT","Pears","Doyenne Du Comice","2nd","£/kg","Jan",0.4
2004,"FRUIT","Pears","Doyenne Du Comice","Ave","£/kg","Jan",0.56
2004,"FRUIT","Pears","William’s Bon Chretien","1st","£/kg","Jan",NA
2004,"FRUIT","Pears","William’s Bon Chretien","2nd","£/kg","Jan",NA
2004,"FRUIT","Pears","William’s Bon Chretien","Ave","£/kg","Jan",NA
2004,"FRUIT","Pears","Other","1st","£/kg","Jan",0.42
2004,"FRUIT","Pears","Other","2nd","£/kg","Jan",0.31
2004,"FRUIT","Pears","Other","Ave","£/kg","Jan",0.38
2004,"FRUIT","Plums and Gages","Czar","1st","£/kg","Jan",NA
2004,"FRUIT","Plums and Gages","Czar","2nd","£/kg","Jan",NA
2004,"FRUIT","Plums and Gages","Czar","Ave","£/kg","Jan",NA
2004,"FRUIT","Plums and Gages","Majorie’s Seedling","1st","£/kg","Jan",NA
2004,"FRUIT","Plums and Gages","Majorie’s Seedling","2nd","£/kg","Jan",NA
2004,"FRUIT","Plums and Gages","Majorie’s Seedling","Ave","£/kg","Jan",NA
2004,"FRUIT","Plums and Gages","Victoria","1st","£/kg","Jan",NA
2004,"FRUIT","Plums and Gages","Victoria","2nd","£/kg","Jan",NA
2004,"FRUIT","Plums and Gages","Victoria","Ave","£/kg","Jan",NA
2004,"FRUIT","Plums and Gages","Other Varieties","-","£/kg","Jan",NA
2004,"FRUIT","Raspberries","All Varieties","-","£/kg","Jan",NA
2004,"FRUIT","Redcurrants","All Varieties","-","£/kg","Jan",NA
2004,"FRUIT","Strawberries","All Varieties","1st","£/kg","Jan",NA
2004,"FRUIT","Strawberries","All Varieties","2nd","£/kg","Jan",NA
2004,"FRUIT","Strawberries","All Varieties","Ave","£/kg","Jan",NA
2004,"VEGETABLES","Asparagus","All Varieties","1st","£/kg","Jan",NA
2004,"VEGETABLES","Asparagus","All Varieties","2nd","£/kg","Jan",NA
2004,"VEGETABLES","Asparagus","All Varieties","Ave","£/kg","Jan",NA
2004,"VEGETABLES","Aubergine","All Varieties","1st","£/kg","Jan",NA
2004,"VEGETABLES","Aubergine","All Varieties","2nd","£/kg","Jan",NA
2004,"VEGETABLES","Aubergine","All Varieties","Ave","£/kg","Jan",NA
2004,"VEGETABLES","Beetroot","Topped","-","£/kg","Jan",0.25
2004,"VEGETABLES","Broad Beans","Broad","-","£/kg","Jan",NA
2004,"VEGETABLES","Brussels Sprouts","All Varieties","1st","£/kg","Jan",1.43
2004,"VEGETABLES","Brussels Sprouts","All Varieties","2nd","£/kg","Jan",1.02
2004,"VEGETABLES","Brussels Sprouts","All Varieties","Ave","£/kg","Jan",1.36
2004,"VEGETABLES","Bulb Onions","Bulb","1st","£/kg","Jan",0.63
2004,"VEGETABLES","Bulb Onions","Bulb","2nd","£/kg","Jan",0.41
2004,"VEGETABLES","Bulb Onions","Bulb","Ave","£/kg","Jan",0.54
2004,"VEGETABLES","Cabbage","Red","1st","£/kg","Jan",0.27
